category,path,line,excerpt,classification
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,77,- Polynomial difference between tmp and candidate is evaluated in the normal domain at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:976-989` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1304-1319`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,77,- Polynomial difference between tmp and candidate is evaluated in the normal domain at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:976-989` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1304-1319`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,79,- Remainder-only refinement uses `Picard_ctrunc_normal_remainder` at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1014-1034` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1365-1392`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,79,- Remainder-only refinement uses `Picard_ctrunc_normal_remainder` at `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1014-1034` and `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1365-1392`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,98,"- Ordinary `mul_ctrunc` accounts for polynomial-product, polynomial-times-remainder, remainder-times-polynomial, remainder-times-remainder, truncation, and cutoff uncertainty in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,99,- `mul_ctrunc_normal` uses normal-domain polynomial evaluation and then normal truncation/cutoff in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:683-711`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,100,- In-place normal multiplication is in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:716-741`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,101,- Insert-and-truncate normal multiplication variants are in `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:797-866` and drive composition through normalized variables.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,121,- `Polynomial::intEvalNormal` is in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:589-608`; each term is evaluated with the step exponent table and accumulated as interval uncertainty.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,122,- Ordinary truncation is in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1505-1528`; normal truncation and normal range evaluation are in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1530-1550`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,122,- Ordinary truncation is in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1505-1528`; normal truncation and normal range evaluation are in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1530-1550`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,123,- Normal cutoff removes coefficients contained in the cutoff threshold and evaluates the removed polynomial over the normal domain in `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1791-1809`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,124,- Ordinary cutoff uses the ordinary domain at `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1814-1835`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,125,- Taylor-model vector range helpers call ordinary or normal evaluation around `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3905` and `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3923`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,125,- Taylor-model vector range helpers call ordinary or normal evaluation around `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3905` and `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3923`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,144,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:19-35` defines `Symbolic_Remainder` fields `J`, `Phi_L`, `scalars`, and `max_size`.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,145,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:12-58` initializes unit scalars, copies queue fields, and resets by clearing `J` and `Phi_L` while rebuilding unit scalars.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,146,- Fixed symbolic reach resets the queue when `J.size() >= max_size` in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:832-914`.,manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,147,"- Adaptive symbolic reach starts from `step_max`, calls symbolic-remainder adaptive advance, pushes accepted flowpipes, updates the current flowpipe, and resets the queue in `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:914-9",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,148,"- Invariant/symbolic paths have additional resets around `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:2036`, `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:2141-2143`, and related invariant loops.",manual_review
hard-coded repository paths,docs/flowstar_kernel_alignment_notes.md,148,"- Invariant/symbolic paths have additional resets around `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:2036`, `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:2141-2143`, and related invariant loops.",manual_review
hard-coded repository paths,docs/flowstar_local_plot_width_patch_inventory.md,3,Flow* checkout path: `/srv/local/shengenli/flowstar`,manual_review
hard-coded repository paths,docs/flowstar_local_plot_width_patch_inventory.md,60,"`rg -n ""FLOWSTAR_RUNTIME_S"" /srv/local/shengenli/flowstar` found no matches.",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,3,"Scope: local source only. Flow* references point to `/srv/local/shengenli/flowstar/flowstar-toolbox` and the local Van der Pol benchmark. This is a clean-room behavioral map; it records paths, line ranges, and implementation intent rather t",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,13,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:79-108`: `Flowpipe` stores `tmvPre`, `tmv`, and `domain`, giving Flow* a split flowpipe representation instead of only a materialized endpoint box.",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,14,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:415-420`: `Flowpipe::compose_normal` computes a normal-domain range for the right map and inserts it into `tmvPre` with `insert_ctrunc_normal`.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,15,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:450-455`: `Flowpipe::intEvalNormal` composes in normal form and then interval-evaluates the result.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,16,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:457-514`: `Flowpipe::normalize` removes constants, computes coordinate scales from magnitudes, builds fresh normal variables, and inserts the normalized variables into the sto",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,17,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:857-1039`: fixed-step interval-remainder advance performs endpoint evaluation, constant removal, insertion, range evaluation, scaling, and `new_x0` construction before Picard ",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,18,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1233-1445`: adaptive interval-remainder advance uses the same normal insertion/preconditioning sequence inside the step-shrink loop.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,19,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2123-2415`: fixed-step symbolic-remainder advance combines the normal insertion path with symbolic queue updates.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,20,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2715-3040`: adaptive symbolic-remainder advance combines normal insertion, symbolic queue updates, and adaptive Picard validation for the benchmark-relevant path.",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,21,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:1026-1053`: scalar `insert_ctrunc_normal` delegates to the Horner form and adds the old remainder to the inserted result.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,22,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3378-3388` and `3419-3428`: `TaylorModelVec::insert_ctrunc_normal` applies scalar insertion component by component.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,23,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3453-3459`: `scale_assign` scales each Taylor-model component by the inverse coordinate magnitude.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,24,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3462-3468`: `rmConstant` removes the polynomial constant before range/scaling work.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,25,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3748-3794`: vector normalization constructs scaled fresh variables and inserts them into the current map.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,26,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3812-3821`: `polyRangeNormal` evaluates polynomial ranges on normal domains.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,27,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Polynomial.h:1530-1550`: `ctrunc_normal` moves high-degree polynomial terms to interval uncertainty by normal evaluation.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,28,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Term.h:167-203`: normal interval evaluation treats time with the step exponent table and state variables with normal-domain factors.,manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,29,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:4247-4290` and `4294-4346`: the Horner insertion path recursively substitutes variables, multiplies through time factors, normal-truncates, and records intermediate ranges.",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,30,"- `/srv/local/shengenli/flowstar/benchmarks/continuous/vanderpol/vanderpol.cpp:31-37`, `52-72`, and `74-90`: the local Van der Pol benchmark uses default adaptive settings and calls `reach` with a symbolic remainder queue.",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,68,"Observed PyTorch component: `normalized_right_map_range_width_sum` grows with the inserted right map before reset scaling. Relevant Flow* mechanism: `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:457-514` computes constants,",manual_review
hard-coded repository paths,docs/flowstar_normalized_insertion_source_map.md,70,"Observed PyTorch component: `scale_x` and `scale_y` track the inserted right-map magnitude, and the attribution report recommends `right-map scalar alignment`. Relevant Flow* mechanism: `/srv/local/shengenli/flowstar/flowstar-toolbox/Taylor",manual_review
hard-coded repository paths,docs/flowstar_right_map_scaling_source_map.md,3,Local Flow* source root: `/srv/local/shengenli/flowstar/flowstar-toolbox`.,manual_review
hard-coded repository paths,docs/flowstar_right_map_scaling_source_map.md,4,Current PyTorch source root: `/srv/local/shengenli/torch_tm_flowpipe`.,manual_review
hard-coded repository paths,docs/flowstar_source_queue_semantics_audit.md,5,This is a clean-room source-guided note for the local checkout at `/srv/local/shengenli/flowstar`. It records file and function names consulted and summarizes behavior in project-local words. No Flow* source code is copied into this reposit,manual_review
hard-coded repository paths,docs/flowstar_source_rescue_notes.md,3,These notes are based on the local Flow* checkout at `/srv/local/shengenli/flowstar/flowstar-toolbox`. They summarize behavior only; the PyTorch implementation remains clean-room Python/PyTorch code.,manual_review
hard-coded repository paths,docs/flowstar_source_rescue_notes.md,56,The local Flow* source reference is `/srv/local/shengenli/flowstar/flowstar-toolbox`. Line numbers below are from that checkout and are used only as behavioral anchors for clean-room PyTorch logic.,manual_review
hard-coded repository paths,docs/flowstar_symbolic_queue_v2_audit_conclusion.md,12,cd /srv/local/shengenli/torch_tm_flowpipe,manual_review
hard-coded repository paths,docs/flowstar_symbolic_queue_v2_audit_conclusion.md,19,cd /srv/local/shengenli/torch_tm_flowpipe,manual_review
hard-coded repository paths,docs/flowstar_symbolic_queue_v2_audit_conclusion.md,20,export FLOWSTAR_ROOT=/srv/local/shengenli/flowstar,manual_review
hard-coded repository paths,docs/flowstar_symbolic_queue_v2_audit_conclusion.md,70,"Consulted files include `flowstar-toolbox/Continuous.h`, `flowstar-toolbox/Continuous.cpp`, `flowstar-toolbox/Discrete.h`, `flowstar-toolbox/Matrix.h`, and `flowstar-toolbox/TaylorModel.h` in `/srv/local/shengenli/flowstar`. The v2 implemen",manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,3,This map is based only on the local Flow* source under `/srv/local/shengenli/flowstar/flowstar-toolbox`.,manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,10,| Symbolic_Remainder declaration | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:19-35` |,manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,11,"| Symbolic_Remainder constructors, reset, copy | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:12-52` |",manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,12,| Fixed-step real ODE symbolic advance | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2123-2418` |,manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,13,| Adaptive-step real ODE symbolic advance | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2715-3040` |,manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,14,| Symbolic reach loops and queue reset | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:832-972` |,manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,15,"| Normal insertion and Picard validation helpers | `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3378-3488`, `3616-3736` |",manual_review
hard-coded repository paths,docs/flowstar_symbolic_remainder_semantics_map.md,16,"| Range/safety materialization paths | `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:4240-4250`, `4440-4555`, `9491-9519`, `10009-10037` |",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,3,"Scope: local source only, rooted at `/srv/local/shengenli/flowstar/flowstar-toolbox`, plus the local Van der Pol benchmark at `/srv/local/shengenli/flowstar/benchmarks/continuous/vanderpol/vanderpol.cpp`. This is a clean-room behavioral map",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,3,"Scope: local source only, rooted at `/srv/local/shengenli/flowstar/flowstar-toolbox`, plus the local Van der Pol benchmark at `/srv/local/shengenli/flowstar/benchmarks/continuous/vanderpol/vanderpol.cpp`. This is a clean-room behavioral map",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,15,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:75-100`: `Flowpipe` stores `tmvPre`, `tmv`, and `domain`; comments identify `tmvPre` as the preconditioning side of the composition.",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,16,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:407-445`: `Flowpipe::compose_normal` computes `tmv.polyRangeNormal(...)` and calls `tmvPre.insert_ctrunc_normal(...)` for all outputs or selected axes.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,17,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:450-468`: `Flowpipe::intEvalNormal` composes in normal form and interval-evaluates; `Flowpipe::normalize` normalizes the right Taylor model and moves constants into `tmvPre`.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,18,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:857-948`, `1233-1324`, `2123-2319`, `2715-2922`: accepted-step transition code evaluates `tmvPre` at step end, removes constants, inserts through current `tmv` with `insert_ct",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,19,- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3378-3427`: `TaylorModelVec::insert_ctrunc_normal` overloads dispatch each component through scalar insertion with one order or per-output orders.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,20,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:4213-4338`: Horner insertion recursively substitutes normalized variables, normal-evaluates truncation/cutoff uncertainty, pushes intermediate ranges for later remainder evalua",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,21,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3748-3795`: normalization recenters non-time domains, constructs scaled fresh variables, sets state domains to `[-1,1]`, and reinserts old Taylor models through the normalized ",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,35,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:118-148`: declares fixed/adaptive interval-remainder overloads and fixed/adaptive symbolic-remainder overloads.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,36,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:857-1039`: fixed-step real ODE interval-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,37,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1045-1225`: fixed-step interval ODE interval-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,38,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1233-1445`: adaptive-stepsize real ODE interval-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,39,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:1452-1665`: adaptive-stepsize interval ODE interval-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,40,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2123-2415`: fixed-step real ODE symbolic-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,41,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2715-3040`: adaptive-stepsize real ODE symbolic-remainder advance.,manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,42,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h:3577-3728`: Picard no-remainder seed, Picard normal ctrunc, and Picard normal remainder routines used by advance.",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,70,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.h:19-35`: `Symbolic_Remainder` fields are `J`, `Phi_L`, `scalars`, and `max_size` with constructor/reset declarations.",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,71,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:12-53`: constructors initialize scalars to one per state dimension, copy queue fields, and reset by clearing `J`/`Phi_L` and restoring scalars to one.",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,72,"- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2123-2323`: fixed-step symbolic advance decomposes the endpoint map into linear and other parts, updates `Phi_L`, accumulates older `J` columns, inserts nonlinear/other terms,",manual_review
hard-coded repository paths,docs/flowstar_width_control_source_map.md,73,- `/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp:2715-2922`: adaptive symbolic advance performs the same queue update before adaptive Picard validation and step shrink logic.,manual_review
